일자,중식계,석식계
2021-01-27,989.9408,351.45557
2021-01-28,941.7683,446.07697
2021-01-29,684.8403,360.22864
2021-02-01,1206.0486,477.36618
2021-02-02,1017.3539,456.30313
2021-02-03,969.3303,380.96756
2021-02-04,957.03613,485.17813
2021-02-05,667.123,334.80923
2021-02-08,1282.478,543.0649
2021-02-09,979.7998,443.8755
2021-02-10,823.5335,198.35236
2021-02-15,1267.6067,521.16565
2021-02-16,1048.4183,533.8972
2021-02-17,1046.1178,420.29385
2021-02-18,905.6114,414.9623
2021-02-19,655.06433,289.3552
2021-02-22,1242.788,603.1073
2021-02-23,1057.72,565.0521
2021-02-24,928.2286,476.41782
2021-02-25,892.6412,482.4531
2021-02-26,677.1352,365.94907
2021-03-02,1074.3362,557.246
2021-03-03,977.7887,404.64603
2021-03-04,971.66046,528.0954
2021-03-05,668.54156,405.69806
2021-03-08,1277.2281,623.79193
2021-03-09,1102.9163,584.9982
2021-03-10,852.6516,298.8117
2021-03-11,893.0978,459.7624
2021-03-12,725.4956,392.6242
2021-03-15,1265.4867,640.60187
2021-03-16,1104.3164,564.74475
2021-03-17,960.921,402.65585
2021-03-18,897.7652,424.9068
2021-03-19,664.8255,329.15915
2021-03-22,1250.9279,593.51764
2021-03-23,1039.9459,561.41205
2021-03-24,955.2496,412.00812
2021-03-25,848.5576,441.25107
2021-03-26,672.3803,365.2564
2021-03-29,1238.0939,586.0893
2021-03-30,996.13275,549.2089
2021-03-31,963.30975,372.67795
2021-04-01,880.4186,460.7291
2021-04-02,662.8339,301.7531
2021-04-05,1253.2551,551.76636
2021-04-06,1038.7242,553.9973
2021-04-07,944.55334,409.0928
2021-04-08,935.3088,426.2788
2021-04-09,654.45953,359.86478
