일자,중식계,석식계
2021-01-27,949.7021,386.66843
2021-01-28,951.52454,446.16498
2021-01-29,744.8993,364.81296
2021-02-01,1210.5864,506.81958
2021-02-02,1001.678,483.36987
2021-02-03,888.57886,392.79153
2021-02-04,998.34076,470.38324
2021-02-05,702.5558,382.38577
2021-02-08,1195.9337,519.43713
2021-02-09,1016.8743,443.7104
2021-02-10,907.9554,380.81537
2021-02-15,1186.6809,508.61295
2021-02-16,991.4869,470.41507
2021-02-17,935.937,381.2402
2021-02-18,920.64996,454.4921
2021-02-19,662.34515,335.50787
2021-02-22,1155.0084,482.70956
2021-02-23,1039.0061,512.12396
2021-02-24,858.4456,413.89246
2021-02-25,895.8432,452.07968
2021-02-26,719.3965,362.99576
2021-03-02,1047.2863,509.0339
2021-03-03,870.3958,372.33157
2021-03-04,972.5181,476.65393
2021-03-05,666.54083,383.9468
2021-03-08,1182.3787,506.04065
2021-03-09,1031.7678,495.48752
2021-03-10,841.0384,385.27252
2021-03-11,867.8261,430.6653
2021-03-12,695.18866,367.0019
2021-03-15,1151.0792,529.66974
2021-03-16,972.5708,461.96777
2021-03-17,838.5509,359.8144
2021-03-18,910.75397,408.5674
2021-03-19,701.51886,350.29858
2021-03-22,1119.4839,495.0561
2021-03-23,946.47577,468.19666
2021-03-24,857.5839,379.51413
2021-03-25,910.92316,439.19226
2021-03-26,702.4055,344.12402
2021-03-29,1183.319,523.5481
2021-03-30,965.3891,506.61105
2021-03-31,889.2252,384.8101
2021-04-01,910.89453,446.9139
2021-04-02,751.14844,356.78134
2021-04-05,1186.7003,505.37408
2021-04-06,970.6409,481.68732
2021-04-07,893.7389,385.8365
2021-04-08,888.64984,415.96042
2021-04-09,685.20154,357.15646
